股票编号,年份（年末）,股价（年末最后20个交易日收盘价加权平均）,股价年化波动率
1,1,6.186360409308251,0.5009007927917074
1,2,5.812830019009757,0.49099814852924495
1,3,7.1599135006310695,0.42383921392645674
1,4,9.088110546776747,0.34285660053250416
1,5,13.94751189804146,0.7544295311946932
1,6,17.74600743860979,0.56101472479073
1,7,15.956302971141394,0.3901386154276223
2,1,8.390189338032,0.0
2,2,8.390189338032,0.0
2,3,8.390189338032,0.0
2,4,8.390189338032,0.0
2,5,8.390189338032,0.0
2,6,8.390189338032,0.0
2,7,17.24557589691731,0.46668100981862304
3,1,2.0899719726580988,0.34251559538689563
3,2,2.6002836686660973,0.4739702375670608
3,3,2.0900802858639125,0.27968182861469
3,4,3.5909320876201347,0.3377882247104246
3,5,5.183194642532998,0.7139396201858343
3,6,7.418584279276701,0.5020546426423403
3,7,4.14685477573468,0.3386034459173907
4,1,4.499131058636411,0.37124290160419204
4,2,6.543899944992416,0.37239352565825823
4,3,6.538597834562239,0.3845229217853769
4,4,12.046006449421698,0.3568346448048639
4,5,17.808919512984833,0.7907706734713676
4,6,16.32762282059959,0.6145679034303935
4,7,14.988561424184569,0.3543100962290642
5,1,20.487722592288,0.0
5,2,20.487722592288,0.0
5,3,20.487722592288,0.0
5,4,20.487722592288,0.0
5,5,20.487722592288,0.0
5,6,20.487722592288,0.0
5,7,42.64678145055067,0.5355382327808248
6,1,3.3174773152748895,0.4120653306968748
6,2,3.054354238829151,0.5473615736717741
6,3,3.299926536731318,0.4635569266351325
6,4,4.679106614881532,0.3710586773526096
6,5,9.325116572186479,0.7961147228094354
6,6,7.369475263919999,0.3940990031465186
6,7,5.809341925953476,0.29920477075365287
7,1,9.291729712748,0.0
7,2,9.291729712748,0.0
7,3,9.291729712748,0.0
7,4,9.291729712748,0.0
7,5,9.291729712748,0.0
7,6,9.291729712748,0.0
7,7,19.36954580395587,0.6758293604594247
8,1,9.86499621081,0.0
8,2,9.86499621081,0.0
8,3,9.86499621081,0.0
8,4,9.86499621081,0.0
8,5,15.277187827775656,0.24923363895665565
8,6,21.741827554137615,0.6812245739468896
8,7,18.65194635519571,0.3305590706841155
9,1,6.877503493452214,0.3792054102282755
9,2,4.620741558519779,0.40394876144146213
9,3,4.82765238127963,0.3732310334047063
9,4,6.634290609518238,0.3474577613947829
9,5,7.84741994867355,0.7069491185001627
9,6,6.394152103158247,0.427278103126291
9,7,4.7130605490027495,0.569898425144417
10,1,22.96284331048,0.0
10,2,22.96284331048,0.0
10,3,22.96284331048,0.0
10,4,22.96284331048,0.0
10,5,22.96284331048,0.0
10,6,22.96284331048,0.0
10,7,35.51773807121157,0.3940290228073469
11,1,7.283976479064001,0.0
11,2,7.283976479064001,0.0
11,3,7.283976479064001,0.0
11,4,7.283976479064001,0.0
11,5,7.283976479064001,0.0
11,6,23.862945884817417,0.5676630697110867
11,7,10.795534220555004,0.4202117650639582
12,1,15.477130863238001,0.0
12,2,15.477130863238001,0.0
12,3,15.477130863238001,0.0
12,4,15.477130863238001,0.0
12,5,15.477130863238001,0.0
12,6,31.790646658126953,0.45114591902231327
12,7,17.168638306360002,0.4565921912978913
13,1,14.903553109329328,0.4146507708919599
13,2,10.40190749579254,0.29722700790938433
13,3,12.468231925958776,0.2890763389141887
13,4,16.363202294621317,0.2984479208991876
13,5,20.61475239884767,0.45481064156227174
13,6,17.58643910155702,0.31618573584886167
13,7,15.810842821307084,0.2612093444515844
14,1,2.238264932350552,0.5768070254331865
14,2,1.2640194222572407,0.4616681174405319
14,3,1.638046746565101,0.4324834519882649
14,4,2.9969311614020366,0.41344710291311165
14,5,4.690600836748491,0.48292901107561004
14,6,5.001967414893861,0.45450103862392344
14,7,4.623069264566266,0.24833000827388044
15,1,2.109095515430629,0.14229312392480556
15,2,1.5199610842232283,0.38715480781575623
15,3,2.7212679959542547,0.3909021965550857
15,4,6.170267979172544,0.5729473730868461
15,5,16.66364232552897,0.8554618507210776
15,6,17.930832850982263,0.48537657192891476
15,7,19.46180272811524,0.3446406142458361
16,1,2.248901284229342,0.3401777810607178
16,2,2.1923819073396245,0.39394846129570227
16,3,5.514074621814699,0.5676035610718564
16,4,6.6368396678958925,0.4327743145183529
16,5,13.975956361751008,0.7000765174184266
16,6,16.416438350773973,0.563310258823241
16,7,11.181941186114164,0.3168342526685159
17,1,4.673413992646716,0.40336572484189887
17,2,4.392480983778351,0.39674994383450474
17,3,7.940417717013306,0.39455492387083724
17,4,12.28932814493866,0.38895726380340756
17,5,18.298650056436923,0.6938902890176
17,6,16.170473303426036,0.4584261021000824
17,7,14.007542699179295,0.2673079466287335
18,1,30.20141054462537,0.3042267102184169
18,2,27.983195678456227,0.2679612318249307
18,3,36.502051060202625,0.33147610348691703
18,4,32.53928266684216,0.24869370482881883
18,5,48.37282972291441,0.5912527717956804
18,6,41.43677743763668,0.4087631951350723
18,7,31.18316055062922,0.23898682568341084
19,1,14.805637767461661,0.4404796778033398
19,2,13.682059829084286,0.3548933982001416
19,3,14.722981162724086,0.3860014561812953
19,4,29.755527664387436,0.4881968311344484
19,5,38.079251456263194,0.8247932506104352
19,6,23.925996576881577,0.4081781317744788
19,7,19.668495063339343,0.22245770398014747
20,1,7.684023898425,0.0
20,2,7.684023898425,0.0
20,3,7.684023898425,0.0
20,4,7.684023898425,0.0
20,5,7.684023898425,0.0
20,6,7.684023898425,0.0
20,7,21.288077222068317,0.4851001813308694
21,1,6.3001401975717854,0.39568237823897634
21,2,4.4318567980874155,0.2893851679111084
21,3,3.5022163043397714,0.23577041332472204
21,4,7.265863606280979,0.347306260127182
21,5,7.093598067492592,0.6568518127307366
21,6,8.164094061053962,0.39075932195709717
21,7,8.061585843012772,0.31539354612299875
22,1,15.963536994863992,0.0
22,2,15.963536994863992,0.0
22,3,15.963536994863992,0.0
22,4,15.963536994863992,0.0
22,5,15.963536994863992,0.0
22,6,15.963536994863992,0.0
22,7,28.07219762748385,0.4559594276501832
23,1,7.8523650216649985,0.0
23,2,7.8523650216649985,0.0
23,3,7.8523650216649985,0.0
23,4,7.8523650216649985,0.0
23,5,7.8523650216649985,0.0
23,6,7.8523650216649985,0.0
23,7,33.035070651621126,0.5600718523774564
24,1,9.167896330242,0.0
24,2,9.167896330242,0.0
24,3,9.167896330242,0.0
24,4,9.167896330242,0.0
24,5,9.167896330242,0.0
24,6,9.167896330242,0.0
24,7,11.13913746551584,0.3540683093397689
25,1,12.680786637277,0.0
25,2,12.680786637277,0.0
25,3,12.680786637277,0.0
25,4,12.680786637277,0.0
25,5,12.680786637277,0.0
25,6,12.680786637277,0.0
